evaluation_id,condition,session_id,agent,strategy,task,task_order,concern,layer,absolute_finding_count,task_local_introduced_findings,task_local_resolved_findings,task_local_net_change,baseline_relative_introduced_findings,baseline_relative_resolved_findings,baseline_relative_net_change
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-STRUCT,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-DEP,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-DOM,backend,1,1,0,1,1,0,1
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-ERR,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-CONTRACT,backend,7,7,0,7,7,0,7
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-ROUTE,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-SIZE,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-DUP,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,BE-TEST,backend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-COM,frontend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-STATE,frontend,2,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-ROUTE,frontend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-STYLE,frontend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-DATA,frontend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-COMM,frontend,0,0,0,0,0,0,0
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,FE-DUP,frontend,6,3,0,3,3,0,3
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,CROSS-EP,cross-stack,0,0,0,0,0,0,0
