evaluation_id,condition,session_id,agent,strategy,task,task_order,scope_id,concern,metric_id,metric_status,raw_value,unit,baseline_value,baseline_relative_delta,direction,n_observations,q1,q3,iqr,lower_fence,upper_fence,adverse_fence,metric_bad_outlier,constraint_failure,silent_decay
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-STRUCT,BE-STRUCT-M-001-module-composition-violation-ratio,pass,0.0,ratio,0.0,0.0,lower_is_better,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-DEP,BE-DEP-M-001-dependency-violation-density,pass,0.0,ratio,0.0,0.0,lower_is_better,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-DOM,BE-DOM-M-001-cross-module-deep-import-count,pass,1.0,count,0.0,1.0,lower_is_better,13,0.0,1.0,1.0,-1.5,2.5,2.5,False,True,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-ERR,BE-ERR-M-001-exception-unification-violation-density,pass,0.0,ratio,0.0,0.0,lower_is_better,13,0.0,3.0,3.0,-4.5,7.5,7.5,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-CONTRACT,BE-CONTRACT-M-001-dto-validator-coverage,pass,1.0,ratio,1.0,0.0,higher_is_better,13,0.957447,1.0,0.04255299999999995,0.8936175000000002,1.0638295,0.8936175000000002,False,True,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-ROUTE,BE-ROUTE-M-001-route-prefix-violation-ratio,pass,0.0,ratio,0.0,0.0,lower_is_better,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-SIZE,BE-SIZE-M-001-cyclomatic-complexity-ratio,pass,0.0,ratio,0.0,0.0,lower_is_better,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-DUP,BE-DUP-M-001-clone-ratio,pass,0.271414,ratio,0.137639,0.13377499999999998,lower_is_better,13,0.219806,0.296813,0.07700699999999999,0.10429550000000001,0.41232349999999995,0.41232349999999995,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend,BE-TEST,BE-TEST-M-001-mock-per-test-case,pass,0.0,ratio,0.0,0.0,lower_is_better,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,frontend,FE-COM,FE-COM-M-001-render-decision-depth-average,pass,0.5,levels,0.51,-0.010000000000000009,lower_is_better,13,0.52,0.55,0.030000000000000027,0.475,0.5950000000000001,0.5950000000000001,False,False,False
