evaluation_id,condition,session_id,agent,strategy,task,task_order,file,task_local_introduced_findings,checkpoint_introduced_findings,file_share,is_top_file,top_file_share
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend/src/modules/deal/deal.entity.ts,7,11,0.6363636363636364,True,0.6363636363636364
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,frontend/src/pages/deals/dealQueries.js,2,11,0.18181818181818182,False,0.6363636363636364
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,backend/src/modules/deal/deal.service.ts,1,11,0.09090909090909091,False,0.6363636363636364
session_20260817_130253/T1,Claude Minimal,session_20260817_130253,claude,minimal,T1,1,frontend/src/pages/deals/index.jsx,1,11,0.09090909090909091,False,0.6363636363636364
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,backend/src/modules/deal/deal-contact.entity.ts,3,9,0.3333333333333333,True,0.3333333333333333
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,backend/src/modules/contact/contact-company.entity.ts,1,9,0.1111111111111111,False,0.3333333333333333
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,backend/src/modules/deal/deal.service.ts,1,9,0.1111111111111111,False,0.3333333333333333
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,frontend/src/pages/contacts/ContactDetail.jsx,1,9,0.1111111111111111,False,0.3333333333333333
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,frontend/src/pages/contacts/ContactForm.jsx,1,9,0.1111111111111111,False,0.3333333333333333
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,frontend/src/pages/contacts/ContactTable.jsx,1,9,0.1111111111111111,False,0.3333333333333333
session_20260817_130253/T2,Claude Minimal,session_20260817_130253,claude,minimal,T2,2,frontend/src/pages/deals/DealForm.jsx,1,9,0.1111111111111111,False,0.3333333333333333
session_20260817_130253/T3,Claude Minimal,session_20260817_130253,claude,minimal,T3,3,backend/src/modules/deal/deal.service.ts,1,2,0.5,True,0.5
session_20260817_130253/T3,Claude Minimal,session_20260817_130253,claude,minimal,T3,3,frontend/src/pages/deals/DealForm.jsx,1,2,0.5,True,0.5
session_20260817_160757/T1,Claude Structured,session_20260817_160757,claude,structured,T1,1,backend/src/modules/deal/deal.entity.ts,6,9,0.6666666666666666,True,0.6666666666666666
session_20260817_160757/T1,Claude Structured,session_20260817_160757,claude,structured,T1,1,frontend/src/pages/deals/dealQueries.js,2,9,0.2222222222222222,False,0.6666666666666666
