concern,layer,display_label,claude_mean_per_eval,codex_mean_per_eval,combined_mean_per_eval,share_of_total_pct
BE-STRUCT,backend,BE-STRUCT,0.0,0.0,0.0,0.0
BE-DEP,backend,BE-DEP,0.6666666666666666,0.0,0.3333333333333333,2.02020202020202
BE-DOM,backend,BE-DOM,0.5,1.0,0.75,4.545454545454546
BE-ERR,backend,BE-ERR,0.0,10.333333333333334,5.166666666666667,31.313131313131315
BE-CONTRACT,backend,BE-CONTRACT,3.0,4.166666666666667,3.5833333333333335,21.71717171717172
BE-ROUTE,backend,BE-ROUTE,0.0,0.0,0.0,0.0
BE-SIZE,backend,BE-SIZE,0.16666666666666666,0.0,0.08333333333333333,0.505050505050505
BE-DUP,backend,BE-DUP,1.1666666666666667,2.3333333333333335,1.75,10.606060606060606
BE-TEST,backend,BE-TEST,0.0,0.0,0.0,0.0
FE-COM,frontend,FE-COM,0.8333333333333334,0.5,0.6666666666666667,4.040404040404041
FE-STATE,frontend,FE-STATE,0.0,0.0,0.0,0.0
FE-ROUTE,frontend,FE-ROUTE,0.0,0.0,0.0,0.0
FE-STYLE,frontend,FE-STYLE,0.0,0.0,0.0,0.0
FE-DATA,frontend,FE-DATA,0.0,0.0,0.0,0.0
FE-COMM,frontend,FE-COMM,0.0,0.0,0.0,0.0
FE-DUP,frontend,FE-DUP,3.6666666666666665,4.666666666666667,4.166666666666667,25.252525252525253
CROSS-EP,cross-stack,CROSS-EP,0.0,0.0,0.0,0.0
CROSS-TYPE,cross-stack,CROSS-TYPE,0.0,0.0,0.0,0.0
CROSS-PROP,cross-stack,CROSS-PROP,0.0,0.0,0.0,0.0
