evaluation_id,agent,strategy,task_id,n_files_touched,n_findings,gini_coefficient,top_file,top_file_share
session_20260817_210911/T3,codex,minimal,T3,4,15,0.55,backend/src/modules/deal/deal.service.ts,0.8
session_20260817_210911/T2,codex,minimal,T2,8,31,0.5201612903225806,backend/src/modules/contact/contact.service.ts,0.41935483870967744
session_20260817_221755/T3,codex,structured,T3,3,13,0.4615384615384615,backend/src/modules/deal/deal.service.ts,0.7692307692307693
session_20260817_221755/T2,codex,structured,T2,7,23,0.4596273291925466,backend/src/modules/deal/deal.service.ts,0.43478260869565216
session_20260817_130253/T1,claude,minimal,T1,4,11,0.43181818181818177,backend/src/modules/deal/deal.entity.ts,0.6363636363636364
session_20260817_210911/T1,codex,minimal,T1,6,12,0.38888888888888884,backend/src/modules/deal/deal.entity.ts,0.5
session_20260817_160757/T1,claude,structured,T1,3,9,0.3703703703703704,backend/src/modules/deal/deal.entity.ts,0.6666666666666666
session_20260817_221755/T1,codex,structured,T1,5,11,0.29090909090909084,backend/src/modules/deal/deal.entity.ts,0.36363636363636365
session_20260817_130253/T2,claude,minimal,T2,7,9,0.19047619047619044,backend/src/modules/deal/deal-contact.entity.ts,0.3333333333333333
session_20260817_160757/T2,claude,structured,T2,6,8,0.16666666666666666,backend/src/modules/deal/deal-contact-link.entity.ts,0.25
session_20260817_160757/T3,claude,structured,T3,3,4,0.16666666666666666,backend/src/modules/deal/deal.service.ts,0.5
session_20260817_130253/T3,claude,minimal,T3,2,2,0.0,backend/src/modules/deal/deal.service.ts,0.5
