metric_name,category,direction,n_observations,median,iqr_low,iqr_high
BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,higher_is_better,13,1.0,0.8936175000000002,1.0638295
BE-DEP-M-001-dependency-violation-density,DEP,lower_is_better,13,0.0,0.0,0.0
BE-DOM-M-001-cross-module-deep-import-count,DOM,lower_is_better,13,0.0,0.0,0.0
BE-DUP-M-001-clone-ratio,DUP,lower_is_better,13,0.248424,0.10429550000000001,0.41232349999999995
BE-ERR-M-001-exception-unification-violation-density,ERR,lower_is_better,13,0.0,-4.5,7.5
BE-MOCK-M-001-mock-per-test-case,MOCK,lower_is_better,13,0.0,0.0,0.0
BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,lower_is_better,13,0.0,0.0,0.0
BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,lower_is_better,13,0.0,0.0,0.0
BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,lower_is_better,13,0.0,0.0,0.0
BE-TEST-M-001-test-coverage,TEST,higher_is_better,13,33.62,6.285,57.684999999999995
CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,lower_is_better,13,0.0,0.0,0.0
CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,lower_is_better,12,0.0,0.0,0.0
CROSS-TYPE-M-001-contract-field-drift-density,TYPE,lower_is_better,13,0.0,0.0,0.0
FE-COM-M-001-render-decision-depth-average,COM,lower_is_better,13,0.54,0.475,0.5950000000000001
FE-COMM-M-001-prop-drilling-average,COMM,lower_is_better,13,5.81,5.634999999999998,5.995000000000001
FE-DATA-M-001-data-access-wrapping-ratio,DATA,higher_is_better,13,1.0,1.0,1.0
FE-DUP-M-001-clone-ratio,DUP,lower_is_better,13,0.282459,0.24223750000000005,0.3370895
FE-ROUTE-M-001-route-param-complexity,ROUTE,lower_is_better,13,0.43,0.43,0.43
FE-STATE-M-001-context-provider-ratio,STATE,lower_is_better,13,0.058824,0.0491075,0.0705355
FE-STYLE-M-001-style-mixing-ratio,STYLE,lower_is_better,13,0.048077,0.0352865,0.0693945
