metric_name,category,total_observations,error_observations,error_rate
BE-TEST-M-001-test-coverage,TEST,13,1,0.07692307692307693
BE-CONTRACT-M-001-dto-validator-coverage,CONTRACT,13,0,0.0
CROSS-PROP-M-001-propagation-incompleteness-ratio,PROP,13,0,0.0
FE-STATE-M-001-context-provider-ratio,STATE,13,0,0.0
FE-ROUTE-M-001-route-param-complexity,ROUTE,13,0,0.0
FE-DUP-M-001-clone-ratio,DUP,13,0,0.0
FE-DATA-M-001-data-access-wrapping-ratio,DATA,13,0,0.0
FE-COMM-M-001-prop-drilling-average,COMM,13,0,0.0
FE-COM-M-001-render-decision-depth-average,COM,13,0,0.0
CROSS-TYPE-M-001-contract-field-drift-density,TYPE,13,0,0.0
CROSS-EP-M-001-endpoint-resolution-miss-ratio,EP,13,0,0.0
BE-DEP-M-001-dependency-violation-density,DEP,13,0,0.0
BE-STRUCT-M-001-module-composition-violation-ratio,STRUCT,13,0,0.0
BE-SIZE-M-001-cyclomatic-complexity-ratio,SIZE,13,0,0.0
BE-ROUTE-M-001-route-prefix-violation-ratio,ROUTE,13,0,0.0
BE-MOCK-M-001-mock-per-test-case,MOCK,13,0,0.0
BE-ERR-M-001-exception-unification-violation-density,ERR,13,0,0.0
BE-DUP-M-001-clone-ratio,DUP,13,0,0.0
BE-DOM-M-001-cross-module-deep-import-count,DOM,13,0,0.0
FE-STYLE-M-001-style-mixing-ratio,STYLE,13,0,0.0
