component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.37359546047542025,0.37359546047542025
PC2,0.24388398762060007,0.6174794480960203
PC3,0.17744822280095268,0.794927670896973
PC4,0.090752298319239,0.8856799692162121
PC5,0.06623421638453994,0.951914185600752
PC6,0.025567702350209075,0.9774818879509611
PC7,0.010784592191944423,0.9882664801429055
PC8,0.007164393854005671,0.9954308739969112
PC9,0.0024778572150668415,0.9979087312119781
PC10,0.0019986518619155105,0.9999073830738936
PC11,8.445569377498756e-05,0.9999918387676686
PC12,8.16123233137708e-06,1.0
