evaluation_id,session_id,task_id,agent,strategy,constraint_result,has_metric_error,has_bad_outlier,bad_outlier_metrics,classification
session_20260817_014141/T1,session_20260817_014141,T1,codex,minimal,failed,False,False,,constraints_failed
session_20260817_014141/T2,session_20260817_014141,T2,codex,minimal,failed,False,False,,constraints_failed
session_20260817_014141/T3,session_20260817_014141,T3,codex,minimal,failed,False,False,,constraints_failed
session_20260817_031026/T1,session_20260817_031026,T1,codex,structured,failed,False,False,,constraints_failed
session_20260817_031026/T2,session_20260817_031026,T2,codex,structured,failed,False,True,BE-ERR-M-001-exception-unification-violation-density,constraints_failed
session_20260817_031026/T3,session_20260817_031026,T3,codex,structured,indeterminate,True,True,BE-ERR-M-001-exception-unification-violation-density,indeterminate_metric_error
session_20260817_130253/T1,session_20260817_130253,T1,claude,minimal,failed,False,False,,constraints_failed
session_20260817_130253/T2,session_20260817_130253,T2,claude,minimal,failed,False,True,BE-SIZE-M-001-cyclomatic-complexity-ratio,constraints_failed
session_20260817_130253/T3,session_20260817_130253,T3,claude,minimal,failed,False,True,BE-SIZE-M-001-cyclomatic-complexity-ratio,constraints_failed
session_20260817_160757/T1,session_20260817_160757,T1,claude,structured,failed,False,False,,constraints_failed
session_20260817_160757/T2,session_20260817_160757,T2,claude,structured,failed,False,True,BE-CONTRACT-M-001-dto-validator-coverage | FE-STYLE-M-001-style-mixing-ratio,constraints_failed
session_20260817_160757/T3,session_20260817_160757,T3,claude,structured,failed,False,True,BE-CONTRACT-M-001-dto-validator-coverage | FE-STYLE-M-001-style-mixing-ratio,constraints_failed
