agent,task_id,rule_id,category,minimal_count,structured_count,diff
claude,T1,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,7.0,6.0,-1.0
claude,T1,BE-DOM-C-001-no-cross-module-deep-import,DOM,1.0,0.0,-1.0
claude,T1,FE-DUP-C-002-single-authoritative-implementation,DUP,3.0,2.0,-1.0
claude,T1,BE-DUP-C-003-no-equivalent-production-code,DUP,0.0,1.0,1.0
claude,T2,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,4.0,1.0,-3.0
claude,T2,BE-DOM-C-001-no-cross-module-deep-import,DOM,1.0,0.0,-1.0
claude,T2,FE-COM-C-001-component-file-max-lines,COM,2.0,1.0,-1.0
claude,T2,FE-DUP-C-002-single-authoritative-implementation,DUP,2.0,1.0,-1.0
claude,T2,BE-DEP-C-004-no-circular-dependencies,DEP,0.0,2.0,2.0
claude,T2,BE-DUP-C-003-no-equivalent-production-code,DUP,0.0,3.0,3.0
claude,T3,BE-SIZE-C-001-max-method-parameters,SIZE,1.0,0.0,-1.0
claude,T3,FE-COM-C-001-component-file-max-lines,COM,1.0,0.0,-1.0
claude,T3,FE-DUP-C-001-single-resource-owner,DUP,0.0,1.0,1.0
claude,T3,BE-DUP-C-003-no-equivalent-production-code,DUP,0.0,3.0,3.0
codex,T1,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,6.0,4.0,-2.0
codex,T1,BE-DOM-C-001-no-cross-module-deep-import,DOM,2.0,0.0,-2.0
codex,T1,FE-DUP-C-002-single-authoritative-implementation,DUP,4.0,4.0,0.0
codex,T1,BE-ERR-C-002-throw-only-app-exception,ERR,0.0,3.0,3.0
codex,T2,BE-ERR-C-002-throw-only-app-exception,ERR,18.0,9.0,-9.0
codex,T2,BE-DOM-C-001-no-cross-module-deep-import,DOM,1.0,0.0,-1.0
codex,T2,FE-COM-C-001-component-file-max-lines,COM,1.0,0.0,-1.0
codex,T2,FE-DUP-C-002-single-authoritative-implementation,DUP,2.0,2.0,0.0
codex,T2,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,7.0,8.0,1.0
codex,T2,BE-DUP-C-002-single-policy-implementation,DUP,1.0,2.0,1.0
codex,T2,BE-DUP-C-003-no-equivalent-production-code,DUP,1.0,2.0,1.0
codex,T3,BE-ERR-C-002-throw-only-app-exception,ERR,10.0,6.0,-4.0
codex,T3,FE-COM-C-001-component-file-max-lines,COM,2.0,0.0,-2.0
codex,T3,FE-DUP-C-002-single-authoritative-implementation,DUP,1.0,1.0,0.0
codex,T3,BE-DUP-C-002-single-policy-implementation,DUP,1.0,2.0,1.0
codex,T3,BE-DUP-C-003-no-equivalent-production-code,DUP,1.0,4.0,3.0
