session_id,task_id,task_order,agent,strategy,model,agent_status,completion_marker_found,agent_reported_error,exit_code,num_turns,duration_seconds,tokens_input_fresh,tokens_input_cached,tokens_cache_write,tokens_output,tokens_reasoning_output,total_cost_usd,cost_usd,cost_basis,test_status,test_reason,test_suite_count,test_cases_total,test_cases_passed,test_cases_failed,test_failed_suite_ids,test_run_id,adapter_version,adapter_outcomes,adapter_unresolved_count,test_result_source,flagged_for_review,test_infrastructure_error,adapter_unresolved,has_acceptance_suite
session_20260817_130253,T1,1,claude,minimal,claude-sonnet-4-6,success,True,False,0,157.0,1209.585,127,13102411,130441,55106,,5.426751150000001,5.426751150000001,reported,pass,,2,16.0,16.0,0.0,,session_20260817_130253_T1_test_20260822_151305,v2,adapted_pass | adapted_pass,0,acceptance_runs/session_20260817_130253_T1_test_20260822_151305/test_result.json,False,False,False,True
session_20260817_130253,T2,2,claude,minimal,claude-sonnet-4-6,success,True,False,0,138.0,1531.043,2463,8840283,204470,93877,,5.1564408,5.1564408,reported,pass,,2,33.0,33.0,0.0,,session_20260817_130253_T2_test_20260822_151617,v2,adapted_pass | adapted_pass,0,acceptance_runs/session_20260817_130253_T2_test_20260822_151617/test_result.json,False,False,False,True
session_20260817_130253,T3,3,claude,minimal,claude-sonnet-4-6,success,True,False,0,142.0,1318.183,143,14620847,123749,49471,,5.833304749999999,5.833304749999999,reported,fail,,2,69.0,68.0,1.0,backend,session_20260817_130253_T3_test_20260822_151817,v2,behaviour_or_test_fail | adapted_pass,0,acceptance_runs/session_20260817_130253_T3_test_20260822_151817/test_result.json,False,False,False,True
session_20260817_130253,T4,4,claude,minimal,claude-sonnet-4-6,success,True,False,0,37.0,261.695,3761,580683,63396,10639,,0.7456273499999999,0.7456273499999999,reported,no_data,,0,,,,,,,,0,,False,False,False,False
session_20260817_160757,T1,1,claude,structured,claude-sonnet-4-6,success,True,False,0,171.0,1372.78,134,14912922,169152,67422,,6.529676250000004,6.529676250000004,reported,pass,,2,16.0,16.0,0.0,,session_20260817_160757_T1_test_20260822_152022,v2,adapted_pass | adapted_pass,0,acceptance_runs/session_20260817_160757_T1_test_20260822_152022/test_result.json,False,False,False,True
session_20260817_160757,T2,2,claude,structured,claude-sonnet-4-6,success,True,False,0,123.0,1585.399,1438,9311361,178384,78835,,5.0932417999999995,5.0932417999999995,reported,fail,,2,33.0,7.0,26.0,backend,session_20260817_160757_T2_test_20260822_152225,v2,behaviour_or_test_fail | adapted_pass,0,acceptance_runs/session_20260817_160757_T2_test_20260822_152225/test_result.json,False,False,False,True
session_20260817_160757,T3,3,claude,structured,claude-sonnet-4-6,success,True,False,0,97.0,1389.02,334,9103603,167262,76585,,4.812813049999999,4.812813049999999,reported,fail,,2,69.0,6.0,63.0,backend | frontend,session_20260817_160757_T3_test_20260822_152410,v2,behaviour_or_test_fail | adapter_unresolved,1,acceptance_runs/session_20260817_160757_T3_test_20260822_152410/test_result.json,False,False,True,True
session_20260817_160757,T4,4,claude,structured,claude-sonnet-4-6,success,True,False,0,40.0,272.619,1060,724768,69370,13012,,0.8750683999999999,0.8750683999999999,reported,no_data,,0,,,,,,,,0,,False,False,False,False
session_20260817_210911,T1,1,codex,minimal,gpt-5.3-codex,success,True,False,0,,572.936,267626,8254720,0,45018,16195.0,,2.5431735,estimated_gpt-5.3-codex_pricing,pass,,2,16.0,16.0,0.0,,session_20260817_210911_T1_test_20260822_152552,v2,adapted_pass | adapted_pass,0,acceptance_runs/session_20260817_210911_T1_test_20260822_152552/test_result.json,False,False,False,True
session_20260817_210911,T2,2,codex,minimal,gpt-5.3-codex,success,True,False,0,,774.683,407311,13082624,0,79294,28670.0,,4.11236945,estimated_gpt-5.3-codex_pricing,fail,,2,33.0,7.0,26.0,backend | frontend,session_20260817_210911_T2_test_20260822_152753,v2,adapter_unresolved | behaviour_or_test_fail,1,acceptance_runs/session_20260817_210911_T2_test_20260822_152753/test_result.json,False,False,True,True
