agent,strategy,task_id,task_order,category,count
claude,minimal,T1,1,CONTRACT,7
claude,minimal,T1,1,DOM,1
claude,minimal,T1,1,DUP,3
claude,minimal,T2,2,COM,2
claude,minimal,T2,2,CONTRACT,4
claude,minimal,T2,2,DOM,1
claude,minimal,T2,2,DUP,5
claude,minimal,T3,3,COM,2
claude,minimal,T3,3,DOM,1
claude,minimal,T3,3,DUP,5
claude,minimal,T3,3,SIZE,1
claude,structured,T1,1,CONTRACT,6
claude,structured,T1,1,DUP,3
claude,structured,T2,2,COM,1
claude,structured,T2,2,CONTRACT,1
claude,structured,T2,2,DEP,2
claude,structured,T2,2,DUP,6
claude,structured,T3,3,DEP,2
claude,structured,T3,3,DUP,7
codex,minimal,T1,1,CONTRACT,6
codex,minimal,T1,1,DOM,2
codex,minimal,T1,1,DUP,3
codex,minimal,T2,2,COM,1
codex,minimal,T2,2,CONTRACT,8
codex,minimal,T2,2,DOM,2
codex,minimal,T2,2,DUP,7
codex,minimal,T2,2,ERR,7
codex,minimal,T3,3,COM,1
codex,minimal,T3,3,DOM,2
codex,minimal,T3,3,DUP,7
codex,minimal,T3,3,ERR,12
codex,structured,T1,1,CONTRACT,6
codex,structured,T1,1,DUP,4
codex,structured,T1,1,ERR,4
codex,structured,T2,2,COM,2
codex,structured,T2,2,CONTRACT,10
codex,structured,T2,2,DUP,10
codex,structured,T2,2,ERR,19
codex,structured,T3,3,COM,2
codex,structured,T3,3,DUP,10
codex,structured,T3,3,ERR,22
