session_id,task_id,agent,strategy,reviewed_commit,severity,location,issue,impact,recommended_improvement,referenced_files
session_20260817_014141,T5,codex,minimal,370f45296fe881910fac11febabc86a75cf175f4,high,"`backend/src/modules/company/company.service.ts:71`, `backend/src/modules/company/company.service.ts:74`, `backend/src/core/database/migrations/20260817000200-UpgradeContactCompanyAndDealContactLinks.ts:234`","Company deletion still checks `contacts.companyId`, but the feature migrated contact-company ownership to `contact_companies` and removes `contacts.companyId`.","Referential-integrity enforcement for company deletion can break (SQL error) or drift from real link state, creating a bypass/false-block risk for a core business rule.",Replace contact-count logic with a query over `contact_companies` joined to non-deleted contacts; add an e2e case that deletes a company with linked contacts via `contact_companies`.,backend/src/modules/company/company.service.ts;backend/src/modules/company/company.service.ts;backend/src/core/database/migrations/20260817000200-UpgradeContactCompanyAndDealContactLinks.ts
session_20260817_014141,T5,codex,minimal,370f45296fe881910fac11febabc86a75cf175f4,medium,"`frontend/src/pages/contacts/ContactDetail.jsx:31`, `frontend/src/pages/contacts/ContactDetail.jsx:33`, `frontend/src/pages/contacts/ContactDetail.jsx:59`, `backend/src/modules/contact/contact.service.ts:27`, `backend/test/contact.e2e-spec.ts:50`","`ContactDetail` still reads `contact.companyId`, while backend responses now use `primaryCompanyId` + `companyLinks` (and tests assert `companyId` is absent).",Contact detail can display incorrect company info (`—`) and performs a lookup based on a field that no longer exists in the API model.,Update `ContactDetail` to derive display from `primaryCompanyId`/`companyLinks` and remove the legacy `companyId` dependency.,frontend/src/pages/contacts/ContactDetail.jsx;frontend/src/pages/contacts/ContactDetail.jsx;frontend/src/pages/contacts/ContactDetail.jsx;backend/src/modules/contact/contact.service.ts;backend/test/contact.e2e-spec.ts
session_20260817_014141,T5,codex,minimal,370f45296fe881910fac11febabc86a75cf175f4,high,"`backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts:8`, `backend/src/core/database/migrations/20260817000100-AddDealsRelations.ts:16`, `backend/src/modules/contact/contact.entity.ts:10`, `backend/src/modules/deal/deal.entity.ts:24`, `backend/test/setup/test-database.ts:22`","Migration chain still includes steps that assume legacy columns (`contacts.companyId`, `deals.contactId`) even though current entities no longer define them, while test bootstrap builds schema from current entities before migrations.","Fresh-schema reproducibility is fragile: migration replay and entity-derived schema evolution can diverge, increasing break risk for CI/setup and future refactors.",Rebaseline/patch legacy migrations with column-existence guards or move to a migrations-only bootstrap path; align test schema setup with the same migration strategy used for runtime environments.,backend/src/core/database/migrations/20260722000100-AddContactsCompanyFk.ts;backend/src/core/database/migrations/20260817000100-AddDealsRelations.ts;backend/src/modules/contact/contact.entity.ts;backend/src/modules/deal/deal.entity.ts;backend/test/setup/test-database.ts
session_20260817_014141,T5,codex,minimal,370f45296fe881910fac11febabc86a75cf175f4,low,"`backend/src/modules/deal/deal-stage.ts:1`, `frontend/src/pages/deals/dealStages.js:1`, `backend/src/core/database/migrations/20260817000300-CanonicalizeDealStages.ts:45`, `backend/src/core/seed/scenarios/demo.seed.ts:31`","Deal stage canon and transition concepts are duplicated across backend domain logic, frontend helpers, migration SQL, and seeds.","Future stage changes require synchronized edits across unrelated layers, increasing drift risk (UI options, API validation, and persisted data rules diverging).",Introduce a single canonical stage contract (shared artifact) and add contract tests that assert frontend/backend/migration constants remain aligned.,backend/src/modules/deal/deal-stage.ts;frontend/src/pages/deals/dealStages.js;backend/src/core/database/migrations/20260817000300-CanonicalizeDealStages.ts;backend/src/core/seed/scenarios/demo.seed.ts
session_20260817_014141,T5,codex,minimal,370f45296fe881910fac11febabc86a75cf175f4,low,"`backend/src/modules/deal/deal.service.ts:175`, `backend/src/modules/deal/deal.service.ts:285`, `backend/src/modules/contact/contact.service.ts:124`, `backend/src/modules/contact/contact.service.ts:173`",Not-found code semantics vary by mutation path (`ENTITY_NOT_FOUND` vs `NOT_FOUND`) for the same resource type.,"Client behavior and error handling become path-dependent for equivalent missing-resource cases, making API contracts harder to reason about and maintain.","Standardize one missing-resource code per resource (or introduce explicit, documented subcodes) and keep behavior consistent across read/update/link/stage endpoints.",backend/src/modules/deal/deal.service.ts;backend/src/modules/deal/deal.service.ts;backend/src/modules/contact/contact.service.ts;backend/src/modules/contact/contact.service.ts
session_20260817_031026,T5,codex,structured,4a86da03caad75d37aa7214a987788cf84c7f168,high,"`backend/src/modules/deal/deal.service.ts:175`, `backend/src/modules/deal/deal.service.ts:468`, `backend/src/modules/deal/deal.service.ts:480`, `backend/test/deal.e2e-spec.ts:363`, `frontend/src/pages/deals/DealForm.jsx:145`, `frontend/src/pages/deals/stageModel.js:41`","Stage preconditions are enforced only during stage-transition requests, but can be bypassed by updating related fields while leaving `stage` unchanged.","Deals can persist in `active` without linked contacts and in `negotiation` with `expectedCloseDate = null`, creating inconsistent domain state and weakening downstream assumptions.","Enforce preconditions against the final post-update state in `updateDeal` (not only when `dto.stage` is present), and add a persistence-level guard (e.g., DB check or transactional invariant validation) for stage-dependent requirements.",backend/src/modules/deal/deal.service.ts;backend/src/modules/deal/deal.service.ts;backend/src/modules/deal/deal.service.ts;backend/test/deal.e2e-spec.ts;frontend/src/pages/deals/DealForm.jsx;frontend/src/pages/deals/stageModel.js
session_20260817_031026,T5,codex,structured,4a86da03caad75d37aa7214a987788cf84c7f168,medium,"`backend/src/modules/deal/deal.controller.ts:48`, `backend/src/modules/deal/dto/update-stage.dto.ts:3`, `backend/src/modules/deal/deal.service.ts:249`, `backend/src/modules/deal/deal.service.ts:175`","The dedicated stage endpoint accepts only `stage`, while transition rules depend on `expectedCloseDate` and linked contacts; the generic update endpoint can supply those dependencies in the same request, but `/deals/:id/stage` cannot.",API paths for stage changes are not behaviorally equivalent; clients using `/deals/:id/stage` may hit avoidable `422` responses and need extra sequencing calls.,"Either deprecate `/deals/:id/stage` and use one update path, or extend its DTO/handler to accept required companion fields and reuse the same transition command contract as `/deals/:id`.",backend/src/modules/deal/deal.controller.ts;backend/src/modules/deal/dto/update-stage.dto.ts;backend/src/modules/deal/deal.service.ts;backend/src/modules/deal/deal.service.ts
session_20260817_031026,T5,codex,structured,4a86da03caad75d37aa7214a987788cf84c7f168,medium,"`backend/src/modules/deal/deal-stage.policy.ts:3`, `backend/src/modules/deal/deal-stage.policy.ts:21`, `frontend/src/pages/deals/stageModel.js:1`, `frontend/src/pages/deals/stageModel.js:14`, `frontend/src/pages/deals/DealForm.jsx:145`","Canonical stage values, transition matrix, and stage-related guard logic are duplicated across backend and frontend.",Future rule changes require synchronized edits in multiple layers; drift can cause UI/backend behavior mismatches and inconsistent validation outcomes.,Centralize stage policy in a shared contract (generated schema/package) or serve transition metadata from backend and make frontend render/validate from that source.,backend/src/modules/deal/deal-stage.policy.ts;backend/src/modules/deal/deal-stage.policy.ts;frontend/src/pages/deals/stageModel.js;frontend/src/pages/deals/stageModel.js;frontend/src/pages/deals/DealForm.jsx
session_20260817_031026,T5,codex,structured,4a86da03caad75d37aa7214a987788cf84c7f168,low,"`backend/src/modules/deal/dto/query.dto.ts:17`, `backend/src/modules/deal/deal.repository.ts:24`, `backend/src/modules/deal/deal-stage.policy.ts:38`, `backend/src/modules/deal/deal.service.ts:443`, `frontend/src/pages/deals/index.jsx:105`","Stage filtering accepts arbitrary strings and performs raw equality filtering, while mutation endpoints enforce canonical stage parsing and explicit `UNKNOWN_STAGE` errors.","Invalid or differently-cased stage filters silently return empty results instead of validation errors, making API behavior inconsistent and harder for clients to diagnose.","Validate and normalize list-query `stage` via the same stage policy used by mutations (including alias/case handling), and return a consistent 400 error for unknown values.",backend/src/modules/deal/dto/query.dto.ts;backend/src/modules/deal/deal.repository.ts;backend/src/modules/deal/deal-stage.policy.ts;backend/src/modules/deal/deal.service.ts;frontend/src/pages/deals/index.jsx
session_20260817_031026,T5,codex,structured,4a86da03caad75d37aa7214a987788cf84c7f168,low,"`frontend/README.md:20`, `frontend/src/pages/deals/index.jsx:1`",Frontend structure documentation was not propagated to include the `deals` page area.,"Documentation lags implemented architecture, increasing onboarding friction and making feature ownership boundaries less clear.",Update `frontend/README.md` project structure and feature notes to include `src/pages/deals` and the stage-transition behavior surface.,frontend/README.md;frontend/src/pages/deals/index.jsx
