evaluation_id,session_id,task_id,task_order,agent,strategy,model,execution_status,constraint_result,comparison_status,duration_ms,backend_status,frontend_status,cross_status,rules_evaluated,backend_findings_absolute,frontend_findings_absolute,cross_findings_absolute,metrics_total,metrics_scored,metric_errors,scope_errors,run_local_introduced_count,run_local_resolved_count,run_local_net_change,trajectory_introduced_count,trajectory_resolved_count,trajectory_net_change,source_file,total_findings_absolute,metric_coverage
baseline/Base,baseline,Base,0,baseline,baseline,n/a,completed,passed,valid,343095,completed,completed,completed,36,0,5,0,20,19,0,0,0,0,0,0,0,0,/Users/luowei/project/ai-architecture-integrity-study/reports/baseline/harness_evaluation.json,5,0.95
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,gpt-5.3-codex,completed,failed,valid,8576,completed,completed,completed,36,8,8,0,20,20,0,0,11,0,11,11,0,11,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_014141/T1/harness_evaluation.json,16,1.0
session_20260817_014141/T2,session_20260817_014141,T2,2,codex,minimal,gpt-5.3-codex,completed,failed,valid,10077,completed,completed,completed,36,20,9,0,20,20,0,0,20,7,13,25,1,24,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_014141/T2/harness_evaluation.json,29,1.0
session_20260817_014141/T3,session_20260817_014141,T3,3,codex,minimal,gpt-5.3-codex,completed,failed,valid,9753,completed,completed,completed,36,17,9,0,20,20,0,0,11,14,-3,22,1,21,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_014141/T3/harness_evaluation.json,26,1.0
session_20260817_031026/T1,session_20260817_031026,T1,1,codex,structured,gpt-5.3-codex,completed,failed,valid,13582,completed,completed,completed,36,10,9,0,20,20,0,0,14,0,14,14,0,14,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_031026/T1/harness_evaluation.json,19,1.0
session_20260817_031026/T2,session_20260817_031026,T2,2,codex,structured,gpt-5.3-codex,completed,failed,valid,10191,completed,completed,completed,36,34,11,0,20,20,0,0,38,12,26,41,1,40,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_031026/T2/harness_evaluation.json,45,1.0
session_20260817_031026/T3,session_20260817_031026,T3,3,codex,structured,gpt-5.3-codex,partial,indeterminate,valid,5595,error,completed,completed,36,27,11,0,20,19,1,1,16,23,-7,34,1,33,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_031026/T3/harness_evaluation.json,38,0.95
session_20260817_130253/T1,session_20260817_130253,T1,1,claude,minimal,claude-sonnet-4-6,completed,failed,valid,222046,completed,completed,completed,36,8,8,0,20,20,0,0,11,0,11,11,0,11,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_130253/T1/harness_evaluation.json,16,1.0
session_20260817_130253/T2,session_20260817_130253,T2,2,claude,minimal,claude-sonnet-4-6,completed,failed,valid,286179,completed,completed,completed,36,5,11,0,20,20,0,0,9,9,0,12,1,11,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_130253/T2/harness_evaluation.json,16,1.0
session_20260817_130253/T3,session_20260817_130253,T3,3,claude,minimal,claude-sonnet-4-6,completed,failed,valid,358320,completed,completed,completed,36,2,11,0,20,20,0,0,2,5,-3,9,1,8,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_130253/T3/harness_evaluation.json,13,1.0
session_20260817_160757/T1,session_20260817_160757,T1,1,claude,structured,claude-sonnet-4-6,completed,failed,valid,350247,completed,completed,completed,36,7,7,0,20,20,0,0,9,0,9,9,0,9,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_160757/T1/harness_evaluation.json,14,1.0
session_20260817_160757/T2,session_20260817_160757,T2,2,claude,structured,claude-sonnet-4-6,completed,failed,valid,521346,completed,completed,completed,36,6,8,0,20,20,0,0,8,8,0,10,1,9,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_160757/T2/harness_evaluation.json,14,1.0
session_20260817_160757/T3,session_20260817_160757,T3,3,claude,structured,claude-sonnet-4-6,completed,failed,valid,300627,completed,completed,completed,36,5,8,0,20,20,0,0,4,5,-1,9,1,8,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260817_160757/T3/harness_evaluation.json,13,1.0
