evaluation_id,session_id,task_id,agent,strategy,subject_id,rule_id,severity,file,message
session_20260812_220814/T1,session_20260812_220814,T1,claude,minimal,backend,BE-DOM-C-001-no-cross-module-deep-import,error,backend/src/modules/deal/deal.service.ts,Cross-module deep import detected. Import from the target module entry file (*.module.ts or index.ts) instead of internal implementation files.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DEP-C-004-no-circular-dependencies,error,backend/src/modules/contact/contact-company.entity.ts,Circular dependencies detected. Break the cycle by: 1. Extracting shared logic to a third module that both depend on 2. Moving one of the dependencies to a lower layer (dependency inversion) 3. Using interfaces/abstract types instead of concrete imports Cycles make the codebase harder to understand and test.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DEP-C-004-no-circular-dependencies,error,backend/src/modules/contact/contact.entity.ts,Circular dependencies detected. Break the cycle by: 1. Extracting shared logic to a third module that both depend on 2. Moving one of the dependencies to a lower layer (dependency inversion) 3. Using interfaces/abstract types instead of concrete imports Cycles make the codebase harder to understand and test.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DEP-C-004-no-circular-dependencies,error,backend/src/modules/deal/deal-contact.entity.ts,Circular dependencies detected. Break the cycle by: 1. Extracting shared logic to a third module that both depend on 2. Moving one of the dependencies to a lower layer (dependency inversion) 3. Using interfaces/abstract types instead of concrete imports Cycles make the codebase harder to understand and test.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DEP-C-004-no-circular-dependencies,error,backend/src/modules/deal/deal.entity.ts,Circular dependencies detected. Break the cycle by: 1. Extracting shared logic to a third module that both depend on 2. Moving one of the dependencies to a lower layer (dependency inversion) 3. Using interfaces/abstract types instead of concrete imports Cycles make the codebase harder to understand and test.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DOM-C-001-no-cross-module-deep-import,error,backend/src/modules/contact/contact-company.entity.ts,Cross-module deep import detected. Import from the target module entry file (*.module.ts or index.ts) instead of internal implementation files.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DOM-C-001-no-cross-module-deep-import,error,backend/src/modules/deal/deal-contact.entity.ts,Cross-module deep import detected. Import from the target module entry file (*.module.ts or index.ts) instead of internal implementation files.
session_20260812_220814/T2,session_20260812_220814,T2,claude,minimal,backend,BE-DOM-C-001-no-cross-module-deep-import,error,backend/src/modules/deal/deal.service.ts,Cross-module deep import detected. Import from the target module entry file (*.module.ts or index.ts) instead of internal implementation files.
session_20260812_220814/T3,session_20260812_220814,T3,claude,minimal,backend,BE-DEP-C-004-no-circular-dependencies,error,backend/src/modules/contact/contact-company.entity.ts,Circular dependencies detected. Break the cycle by: 1. Extracting shared logic to a third module that both depend on 2. Moving one of the dependencies to a lower layer (dependency inversion) 3. Using interfaces/abstract types instead of concrete imports Cycles make the codebase harder to understand and test.
session_20260812_220814/T3,session_20260812_220814,T3,claude,minimal,backend,BE-DEP-C-004-no-circular-dependencies,error,backend/src/modules/contact/contact.entity.ts,Circular dependencies detected. Break the cycle by: 1. Extracting shared logic to a third module that both depend on 2. Moving one of the dependencies to a lower layer (dependency inversion) 3. Using interfaces/abstract types instead of concrete imports Cycles make the codebase harder to understand and test.
