file,finding_count,session_count,rule_count,rules
frontend/src/components/Breadcrumbs/index.jsx,36,4,2,FE-DATA-C-002-useeffect-requires-dependency-array | FE-STYLE-C-001-no-raw-jsx-style
frontend/src/pages/companies/CompanyForm.jsx,32,4,1,FE-COM-C-002-jsx-max-depth
frontend/src/pages/deals/DealForm.jsx,24,4,2,FE-COM-C-001-component-file-max-lines | FE-COM-C-002-jsx-max-depth
backend/src/modules/deal/deal.service.ts,12,2,2,BE-DOM-C-001-no-cross-module-deep-import | BE-SIZE-C-001-max-method-parameters
backend/src/modules/contact/dto/response.dto.ts,12,3,1,BE-CONTRACT-C-002-request-dto-uses-class-validator
frontend/src/pages/contacts/ContactForm.jsx,12,4,2,FE-COM-C-001-component-file-max-lines | FE-COM-C-002-jsx-max-depth
backend/src/modules/contact/contact.entity.ts,10,3,2,BE-DEP-C-004-no-circular-dependencies | BE-DOM-C-001-no-cross-module-deep-import
backend/src/modules/contact/contact-company.entity.ts,8,2,2,BE-DEP-C-004-no-circular-dependencies | BE-DOM-C-001-no-cross-module-deep-import
backend/src/modules/deal/deal-contact.entity.ts,8,2,2,BE-DEP-C-004-no-circular-dependencies | BE-DOM-C-001-no-cross-module-deep-import
frontend/src/components/AnalyticEcommerce/index.jsx,8,4,1,FE-STYLE-C-001-no-raw-jsx-style
frontend/src/layout/components/Sidebar/DrawerContent/Navigation/NavItem.jsx,8,4,1,FE-STYLE-C-001-no-raw-jsx-style
backend/src/modules/company/company.controller.ts,7,4,1,BE-SIZE-C-001-max-method-parameters
backend/src/modules/company/company.service.ts,7,4,1,BE-SIZE-C-001-max-method-parameters
backend/src/modules/deal/dto/response.dto.ts,7,1,1,BE-CONTRACT-C-002-request-dto-uses-class-validator
backend/src/modules/deal/deal.entity.ts,6,3,1,BE-DEP-C-004-no-circular-dependencies
frontend/src/pages/deals/DealTable.jsx,6,4,2,CROSS-DUP-C-001-authoritative-cross-contract-source-or-synchronization | FE-COM-C-002-jsx-max-depth
backend/src/modules/deal/deal-contact-link.entity.ts,6,1,2,BE-DEP-C-004-no-circular-dependencies | BE-DOM-C-001-no-cross-module-deep-import
frontend/src/pages/companies/CompanyTable.jsx,4,4,1,FE-COM-C-002-jsx-max-depth
frontend/src/pages/deals/DealDetail.jsx,4,3,2,CROSS-DUP-C-001-authoritative-cross-contract-source-or-synchronization | FE-COM-C-002-jsx-max-depth
frontend/src/layout/components/Navbar/HeaderContent/Notification.jsx,4,4,1,FE-STYLE-C-001-no-raw-jsx-style
backend/src/modules/contact/contact-company-link.entity.ts,4,1,2,BE-DEP-C-004-no-circular-dependencies | BE-DOM-C-001-no-cross-module-deep-import
frontend/src/pages/contacts/ContactDetail.jsx,3,2,1,FE-COM-C-002-jsx-max-depth
frontend/src/pages/companies/index.jsx,3,3,1,CROSS-TYPE-C-001-request-query-body-contract-alignment
frontend/src/pages/contacts/index.jsx,3,3,1,CROSS-TYPE-C-001-request-query-body-contract-alignment
backend/src/modules/contact/contact.service.ts,2,1,1,BE-DOM-C-001-no-cross-module-deep-import
frontend/src/pages/contacts/ContactTable.jsx,2,2,1,FE-COM-C-002-jsx-max-depth
frontend/src/pages/deals/dealStageConfig.js,2,1,1,CROSS-DUP-C-001-authoritative-cross-contract-source-or-synchronization
frontend/src/pages/deals/index.jsx,1,1,1,CROSS-DUP-C-001-authoritative-cross-contract-source-or-synchronization
