evaluation_id,source_file,session_id,session_label,task_id,agent,model,strategy,memory,status,duration_ms,backend_status,frontend_status,cross_status,backend_findings,frontend_findings,cross_findings,rules_evaluated,metrics_total,metrics_scored,metric_errors,subject_errors,total_findings,metric_coverage
session_20260812_220814/T1,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260812_220814/T1/harness_evaluation.json,session_20260812_220814,08-12 22:08,T1,claude,claude-sonnet-4-6,minimal,False,partial,2450,failed,error,none,1,0,0,16,4,4,0,2,1,1.0
session_20260812_220814/T2,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260812_220814/T2/harness_evaluation.json,session_20260812_220814,08-12 22:08,T2,claude,claude-sonnet-4-6,minimal,False,partial,3157,failed,error,none,7,0,0,16,4,4,0,2,7,1.0
session_20260812_220814/T3,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260812_220814/T3/harness_evaluation.json,session_20260812_220814,08-12 22:08,T3,claude,claude-sonnet-4-6,minimal,False,partial,5922,error,failed,failed,13,36,2,33,21,20,1,2,51,0.9523809523809523
session_20260813_150337/T1,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_150337/T1/harness_evaluation.json,session_20260813_150337,08-13 15:03,T1,codex,gpt-5.3-codex,minimal,False,partial,3370,failed,error,none,2,0,0,16,4,4,0,2,2,1.0
session_20260813_150337/T2,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_150337/T2/harness_evaluation.json,session_20260813_150337,08-13 15:03,T2,codex,gpt-5.3-codex,minimal,False,partial,2357,failed,error,none,10,0,0,16,4,4,0,2,10,1.0
session_20260813_150337/T3,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_150337/T3/harness_evaluation.json,session_20260813_150337,08-13 15:03,T3,codex,gpt-5.3-codex,minimal,False,partial,5418,error,failed,failed,22,36,2,33,21,20,1,2,60,0.9523809523809523
session_20260813_203443/T1,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_203443/T1/harness_evaluation.json,session_20260813_203443,08-13 20:34,T1,claude,claude-sonnet-4-6,structured,False,partial,2702,completed,error,none,0,0,0,16,4,4,0,1,0,1.0
session_20260813_203443/T2,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_203443/T2/harness_evaluation.json,session_20260813_203443,08-13 20:34,T2,claude,claude-sonnet-4-6,structured,False,partial,3558,error,error,none,5,0,0,21,9,8,1,2,5,0.8888888888888888
session_20260813_203443/T3,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_203443/T3/harness_evaluation.json,session_20260813_203443,08-13 20:34,T3,claude,claude-sonnet-4-6,structured,False,partial,5473,error,failed,failed,5,33,7,33,21,20,1,2,45,0.9523809523809523
session_20260813_211609/T1,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_211609/T1/harness_evaluation.json,session_20260813_211609,08-13 21:16,T1,codex,gpt-5.3-codex,structured,False,partial,3967,error,error,none,2,0,0,21,9,8,1,2,2,0.8888888888888888
session_20260813_211609/T2,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_211609/T2/harness_evaluation.json,session_20260813_211609,08-13 21:16,T2,codex,gpt-5.3-codex,structured,False,partial,3078,error,error,none,11,0,0,21,9,8,1,2,11,0.8888888888888888
session_20260813_211609/T3,/Users/luowei/project/ai-architecture-integrity-study/reports/experiments/session_20260813_211609/T3/harness_evaluation.json,session_20260813_211609,08-13 21:16,T3,codex,gpt-5.3-codex,structured,False,partial,4517,error,failed,none,11,36,0,26,21,20,1,2,47,0.9523809523809523
